Timestamp,entry.923603719,entry.554932361,entry.1672505170,entry.962003544,entry.255587568,entry.612613808,entry.80696487,entry.1876721597,entry.1521108961,entry.130945040,entry.1075288078,entry.659638895,entry.330886809,entry.1634516718,entry.1775119140,entry.413983438,entry.1273514916,entry.520272558,entry.1000274638,entry.265359321,entry.1572500048,entry.1480233952,entry.1160159915,entry.1627086245,entry.1142213949,entry.98642955,entry.1424986760,entry.457665241,entry.1419529889,entry.1493937335,entry.200474320,entry.1678691419,entry.1127065946,entry.1889439988,entry.682072584,entry.696086050,entry.805206222
06/04/2015 15:46,De 40 a 50 años,Femenino,De 12-17 años,Casado,Técnico.,Sector de servicios,No,Probablemente si,De acuerdo,Probablemente si,Muy alto,Bueno,"Ni satisfecho, ni insatisfecho",Probablemente si,Utiles,Probablemente si,Muy bueno,Probablemente si,Muy adecuada,Probablemente si,Adecuadas,Limitado,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Probablemente no,Si,Han disminuido,Probablemente si,Probablemente si,Uso de Extintores en alguna áreas,No,Probablemente si,Revisión periódica del ambiente de trabajo
06/04/2015 15:47,De 29 a 39 años,Femenino,De 6-12 años,Soltero,Gerencial.,Sector de servicios,Si,Probablemente si,De acuerdo,Definitivamente si,Muy alto,Muy bueno,Muy satisfecho,Probablemente si,Muy útiles,Definitivamente si,Excelente,Probablemente si,Adecuada,Definitivamente si,Muy adecuadas,Muy amplio,Definitivamente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En algunas áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Definitivamente si,Definitivamente si,Uso de Señalización de áreas de peligro,Si,Definitivamente si,Todas las anteriores
06/04/2015 15:49,Más de 51 años,Masculino,Más de 17 años,Casado,Operativo.,Sector industrial,Si,Definitivamente si,Muy de acuerdo,Definitivamente si,Muy alto,Bueno,Muy satisfecho,Definitivamente si,Utiles,Probablemente si,Regular,Indeciso,"Ni adecuada, ni inadecuada",Probablemente no,Adecuadas,Amplio,Probablemente si,Muy motivador y muy enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Definitivamente si,Definitivamente si,Uso de Señalización de áreas de peligro,Si,Probablemente si,Diseño de procesos seguros
06/04/2015 17:14,De 40 a 50 años,Femenino,De 6-12 años,Soltero,Operativo.,Sector de servicios,Si,Definitivamente si,De acuerdo,Indeciso,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Definitivamente si,Muy bueno,Probablemente si,Adecuada,Indeciso,Adecuadas,"Ni amplio, ni limitado",Probablemente si,Motivador y enriquecedor,Probablemente si,No,En algunas áreas de trabajo,Si,Probablemente si,No,No ha habido cambios,Indeciso,Probablemente si,Uso de Extintores en alguna áreas,No,Probablemente si,Revisión periódica del ambiente de trabajo
07/04/2015 09:08,De 40 a 50 años,Femenino,Más de 17 años,Casado,Técnico.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente si,Alto,Bueno,Satisfecho,Probablemente si,Muy útiles,Definitivamente si,Muy bueno,Indeciso,Inadecuada,Indeciso,Adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En ninguna de las áreas de trabajo,No,Definitivamente No,Si,No ha habido cambios,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Revisión periódica del ambiente de trabajo
07/04/2015 09:12,De 40 a 50 años,Femenino,Más de 17 años,Casado,Técnico.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente si,Alto,Bueno,Satisfecho,Probablemente si,Muy útiles,Definitivamente si,Muy bueno,Indeciso,Inadecuada,Indeciso,Adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En todas las áreas de trabajo,No,Definitivamente No,Si,No ha habido cambios,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Revisión periódica del ambiente de trabajo
07/04/2015 10:18,Más de 51 años,Femenino,Más de 17 años,Casado,Técnico.,Sector de servicios,Si,Probablemente si,En desacuerdo,Definitivamente no,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Definitivamente si,Muy bueno,Probablemente si,Muy adecuada,Probablemente si,Adecuadas,Muy amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Probablemente si,Probablemente si,Uso de Señalización de áreas de peligro,Si,Probablemente si,"Utilización de equipos de trabajo y equipo de protección, Todas las anteriores"
07/04/2015 10:26,De 29 a 39 años,Masculino,De 6-12 años,Casado,Técnico.,Sector de servicios,Si,Probablemente si,Indeciso,Probablemente si,"Ni alto, ni bajo",Bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Muy bueno,Probablemente si,Adecuada,Probablemente si,Muy adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Indeciso,Si,En algunas áreas de trabajo,No,Indeciso,Si,No ha habido cambios,Probablemente si,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Revisión periódica del ambiente de trabajo
07/04/2015 10:34,De 29 a 39 años,Femenino,Menos de 1 año,Unión libre,Operativo.,Sector comercial,No,Indeciso,Indeciso,Indeciso,"Ni alto, ni bajo",Regular,"Ni satisfecho, ni insatisfecho",Indeciso,"Ni útiles, ni inútiles",Indeciso,Regular,Indeciso,"Ni adecuada, ni inadecuada",Indeciso,"Ni adecuadas, ni inadecuadas","Ni amplio, ni limitado",Indeciso,Motivador y enriquecedor,Indeciso,Si,En ninguna de las áreas de trabajo,,Indeciso,No,No ha habido cambios,Indeciso,Indeciso,Uso de Extintores en alguna áreas,Si,Indeciso,Ninguna de las anteriores
07/04/2015 10:38,De 18 a 28 años,Femenino,De 1-5 años,Soltero,Operativo.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente si,Muy alto,Bueno,Satisfecho,Probablemente si,Muy útiles,Definitivamente si,Muy bueno,Probablemente si,Adecuada,Indeciso,Adecuadas,Amplio,Definitivamente si,Motivador y enriquecedor,Probablemente si,No,En ninguna de las áreas de trabajo,No,Probablemente no,No,Han disminuido,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,Si,Probablemente si,Revisión periódica del ambiente de trabajo
07/04/2015 11:11,Más de 51 años,Femenino,Más de 17 años,Soltero,Gerencial.,Sector industrial,Si,Definitivamente si,Muy de acuerdo,Probablemente si,Muy alto,Bueno,Muy satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Excelente,Definitivamente si,Adecuada,Probablemente si,Adecuadas,Muy amplio,Definitivamente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En algunas áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Indeciso,Definitivamente si,Uso de Señalización de áreas de peligro,No,Probablemente si,Revisión periódica del ambiente de trabajo
07/04/2015 11:14,De 40 a 50 años,Masculino,De 6-12 años,Casado,Administrativo.,Sector industrial,Si,Definitivamente si,De acuerdo,Probablemente si,Muy alto,Bueno,Satisfecho,Probablemente si,Muy útiles,Definitivamente si,Muy bueno,Probablemente si,Adecuada,Probablemente si,"Ni adecuadas, ni inadecuadas",Limitado,Definitivamente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En algunas áreas de trabajo,No,Definitivamente no,No,Han disminuido,Definitivamente si,Definitivamente si,Uso de Señalización de áreas de peligro,No,Indeciso,"Utilización de equipos de trabajo y equipo de protección, Revisión periódica del ambiente de trabajo"
07/04/2015 11:18,De 29 a 39 años,Masculino,De 1-5 años,Soltero,Operativo.,Sector de servicios,Si,Probablemente si,De acuerdo,Indeciso,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Definitivamente si,Regular,Indeciso,"Ni adecuada, ni inadecuada",Probablemente no,Adecuadas,Amplio,Definitivamente si,Motivador y enriquecedor,Probablemente si,No,En algunas áreas de trabajo,No,Definitivamente no,No,No ha habido cambios,Probablemente si,Definitivamente si,Uso de Señalización de áreas de peligro,Si,Indeciso,"Utilización de equipos de trabajo y equipo de protección, Revisión periódica del ambiente de trabajo"
07/04/2015 11:23,De 18 a 28 años,Femenino,De 1-5 años,Soltero,Administrativo.,Sector comercial,Si,Definitivamente si,Indeciso,Indeciso,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Regular,Probablemente si,Adecuada,Probablemente si,Adecuadas,Muy amplio,Definitivamente si,Motivador y enriquecedor,Probablemente si,No,En algunas áreas de trabajo,No,Probablemente no,No,No ha habido cambios,Probablemente si,Indeciso,Uso de Extintores en alguna áreas,No,Indeciso,Revisión periódica del ambiente de trabajo
07/04/2015 11:26,Más de 51 años,Masculino,Más de 17 años,Casado,Técnico.,Sector industrial,Si,Definitivamente si,De acuerdo,Probablemente si,Muy alto,Muy bueno,Muy satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Excelente,Indeciso,Muy adecuada,Definitivamente si,Muy adecuadas,Muy amplio,Definitivamente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En ninguna de las áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Definitivamente si,Definitivamente si,Uso de Señalización de áreas de peligro,Si,Probablemente si,Todas las anteriores
07/04/2015 11:29,De 40 a 50 años,Masculino,De 6-12 años,Casado,Técnico.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente si,Muy alto,Muy bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Muy bueno,Indeciso,Inadecuada,Indeciso,Adecuadas,Limitado,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Probablemente si,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Todas las anteriores
07/04/2015 11:35,De 40 a 50 años,Masculino,De 6-12 años,Casado,Operativo.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente no,Alto,Bueno,"Ni satisfecho, ni insatisfecho",Probablemente si,Utiles,Probablemente si,Regular,Indeciso,Adecuada,Indeciso,Adecuadas,Limitado,Definitivamente si,Motivador y enriquecedor,Probablemente no,Si,En ninguna de las áreas de trabajo,No,Definitivamente no,No,No ha habido cambios,Probablemente no,Probablemente no,Ninguna de las anteriores,No,Probablemente si,Ninguna de las anteriores
07/04/2015 11:45,De 18 a 28 años,Masculino,De 1-5 años,Casado,Operativo.,Sector de servicios,Si,Probablemente si,Indeciso,Indeciso,Muy alto,Bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Muy bueno,Probablemente si,"Ni adecuada, ni inadecuada",Probablemente si,Adecuadas,Limitado,Definitivamente si,Motivador y enriquecedor,Probablemente si,Si,En ninguna de las áreas de trabajo,No,Probablemente no,No,No ha habido cambios,Indeciso,Indeciso,Uso de Extintores en alguna áreas,No,Indeciso,Ninguna de las anteriores
07/04/2015 13:08,Más de 51 años,Masculino,De 12-17 años,Soltero,Técnico.,Sector de servicios,Si,Probablemente si,En desacuerdo,Probablemente no,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Definitivamente si,Muy bueno,Probablemente si,Adecuada,Probablemente si,"Ni adecuadas, ni inadecuadas",Amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Definitivamente si,Probablemente si,Uso de Señalización de áreas de peligro,No,Probablemente si,"Utilización de equipos de trabajo y equipo de protección, Revisión periódica del ambiente de trabajo"
07/04/2015 16:20,De 29 a 39 años,Masculino,Menos de 1 año,Unión libre,Operativo.,Sector comercial,Si,Probablemente si,De acuerdo,Probablemente si,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Muy bueno,Indeciso,"Ni adecuada, ni inadecuada",Indeciso,Adecuadas,Muy amplio,Definitivamente si,Motivador y enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Definitivamente No,No,Han disminuido,Probablemente si,Probablemente si,Uso de Señalización de áreas de peligro,No,Probablemente no,Utilización de equipos de trabajo y equipo de protección
07/04/2015 16:24,Más de 51 años,Masculino,De 12-17 años,Casado,Técnico.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente si,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Muy bueno,Probablemente si,Adecuada,Probablemente si,"Ni adecuadas, ni inadecuadas",Muy amplio,Definitivamente si,Muy motivador y muy enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Indeciso,No,No ha habido cambios,Probablemente si,,Uso de Extintores en alguna áreas,No,Indeciso,Revisión periódica del ambiente de trabajo
07/04/2015 16:31,De 29 a 39 años,Femenino,De 1-5 años,Soltero,Administrativo.,Sector de servicios,Si,Probablemente si,De acuerdo,Indeciso,Alto,Regular,Satisfecho,Probablemente si,Utiles,Indeciso,Muy bueno,Indeciso,Inadecuada,Indeciso,Adecuadas,Amplio,Definitivamente si,Motivador y enriquecedor,Indeciso,No,En todas las áreas de trabajo,,Indeciso,No,No ha habido cambios,Probablemente si,Indeciso,Uso de Señalización de áreas de peligro,Si,Probablemente si,Revisión periódica del ambiente de trabajo
07/04/2015 16:34,De 40 a 50 años,Femenino,De 6-12 años,Casado,Operativo.,Sector de servicios,,Probablemente si,De acuerdo,Probablemente si,Alto,Bueno,Satisfecho,Probablemente si,Muy útiles,Definitivamente si,Excelente,Probablemente no,Inadecuada,Indeciso,"Ni adecuadas, ni inadecuadas","Ni amplio, ni limitado",Probablemente si,Poco motivador y poco enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Indeciso,No,No ha habido cambios,Probablemente si,Indeciso,Ninguna de las anteriores,No,Definitivamente si,Ninguna de las anteriores
07/04/2015 16:41,De 18 a 28 años,Femenino,De 1-5 años,Casado,Operativo.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente si,Alto,Bueno,Satisfecho,Probablemente si,Muy útiles,Probablemente si,Muy bueno,Probablemente si,Adecuada,Probablemente si,Adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,No,En algunas áreas de trabajo,No,Indeciso,No,No ha habido cambios,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Diseño de procesos seguros
07/04/2015 16:46,Más de 51 años,Masculino,Más de 17 años,Casado,Gerencial.,Sector comercial,Si,Definitivamente si,En desacuerdo,Definitivamente no,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Muy bueno,Indeciso,Adecuada,Probablemente no,Adecuadas,Amplio,Definitivamente si,Muy motivador y muy enriquecedor,Probablemente si,Si,En ninguna de las áreas de trabajo,No,Definitivamente no,No,No ha habido cambios,Probablemente no,Indeciso,Ninguna de las anteriores,No,Probablemente si,Ninguna de las anteriores
07/04/2015 16:52,De 29 a 39 años,Masculino,De 6-12 años,Soltero,Técnico.,Sector de servicios,Si,Probablemente si,De acuerdo,Probablemente si,"Ni alto, ni bajo",Bueno,Muy satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Excelente,Definitivamente si,Muy adecuada,Probablemente no,Muy adecuadas,Muy amplio,Definitivamente si,Muy motivador y muy enriquecedor,Probablemente si,Si,En ninguna de las áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Probablemente si,Probablemente si,Uso de Señalización de áreas de peligro,No,Definitivamente si,"Utilización de equipos de trabajo y equipo de protección, Diseño de procesos seguros"
07/04/2015 16:56,Más de 51 años,Femenino,Más de 17 años,Casado,Administrativo.,Sector comercial,Si,Probablemente si,De acuerdo,Definitivamente si,Alto,Muy bueno,Muy satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Muy bueno,Probablemente si,Adecuada,Definitivamente si,Muy adecuadas,Amplio,Definitivamente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En algunas áreas de trabajo,No,Definitivamente no,Si,Han disminuido,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,"Utilización de equipos de trabajo y equipo de protección, Revisión periódica del ambiente de trabajo"
07/04/2015 17:01,De 18 a 28 años,Femenino,De 1-5 años,Soltero,Operativo.,Sector industrial,Si,Probablemente si,Indeciso,Probablemente si,"Ni alto, ni bajo",Bueno,Satisfecho,Probablemente si,Utiles,Definitivamente si,Muy bueno,Indeciso,Inadecuada,Indeciso,Adecuadas,Amplio,Probablemente si,Muy motivador y muy enriquecedor,Probablemente si,No,En algunas áreas de trabajo,No,Definitivamente No,No,Han disminuido,Indeciso,Definitivamente si,Uso de Señalización de áreas de peligro,No,Indeciso,Revisión periódica del ambiente de trabajo
07/04/2015 17:05,De 40 a 50 años,Femenino,De 6-12 años,Casado,Técnico.,Sector de servicios,Si,Definitivamente si,Muy de acuerdo,Probablemente si,Muy alto,Muy bueno,Muy satisfecho,Definitivamente si,Muy útiles,Probablemente si,Excelente,Probablemente si,Muy adecuada,Probablemente si,Adecuadas,Muy amplio,Definitivamente si,Motivador y enriquecedor,Definitivamente si,No,En ninguna de las áreas de trabajo,No,Definitivamente no,No,Han disminuido,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Utilización de equipos de trabajo y equipo de protección
07/04/2015 17:12,De 29 a 39 años,Masculino,De 6-12 años,Casado,Gerencial.,Sector industrial,Si,Definitivamente si,De acuerdo,Definitivamente si,Alto,Bueno,Satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Muy bueno,Probablemente si,Adecuada,Probablemente si,Adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Definitivamente si,Si,En ninguna de las áreas de trabajo,No,Definitivamente No,No,Han aumentado,Definitivamente si,Probablemente si,Uso de Señalización de áreas de peligro,No,Probablemente no,"Utilización de equipos de trabajo y equipo de protección, Revisión periódica del ambiente de trabajo"
07/04/2015 17:19,De 18 a 28 años,Masculino,Menos de 1 año,Soltero,Operativo.,Sector de servicios,Si,Definitivamente si,De acuerdo,Indeciso,Alto,Muy bueno,Satisfecho,Probablemente si,Muy útiles,Definitivamente si,Regular,Probablemente si,"Ni adecuada, ni inadecuada",Indeciso,Muy adecuadas,Amplio,Definitivamente si,Motivador y enriquecedor,Probablemente si,No,En algunas áreas de trabajo,No,Definitivamente no,No,No ha habido cambios,Probablemente si,Probablemente si,Uso de Extintores en alguna áreas,No,Indeciso,Revisión periódica del ambiente de trabajo
07/04/2015 23:41,De 18 a 28 años,Masculino,Menos de 1 año,Soltero,Operativo.,Sector comercial,Si,Probablemente si,De acuerdo,Probablemente si,Muy alto,Muy bueno,Muy satisfecho,Probablemente si,Muy útiles,Probablemente si,Excelente,Probablemente si,"Ni adecuada, ni inadecuada",Indeciso,Adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,No,En algunas áreas de trabajo,No,Indeciso,No,Han disminuido,Indeciso,Probablemente si,Todas las anteriores,No,Indeciso,"Utilización de equipos de trabajo y equipo de protección, Diseño de procesos seguros"
07/04/2015 23:47,De 29 a 39 años,Femenino,De 6-12 años,Casado,Administrativo.,Sector comercial,Si,Definitivamente si,Muy de acuerdo,Definitivamente si,Muy alto,Muy bueno,Muy satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Excelente,Indeciso,Inadecuada,Probablemente si,Adecuadas,Amplio,Probablemente si,Muy motivador y muy enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,Si,Probablemente si,Si,Han disminuido,Definitivamente si,Definitivamente si,Uso de Extintores en alguna áreas,No,Indeciso,"Diseño de procesos seguros, Revisión periódica del ambiente de trabajo"
07/04/2015 23:48,De 40 a 50 años,Femenino,De 12-17 años,Casado,Gerencial.,Sector comercial,Si,Probablemente si,De acuerdo,Definitivamente si,Muy alto,Muy bueno,Muy satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Excelente,Indeciso,Muy adecuada,Definitivamente si,Muy adecuadas,Amplio,Probablemente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En todas las áreas de trabajo,Si,Probablemente si,Si,Han disminuido,Indeciso,Definitivamente si,Uso de Señalización de áreas de peligro,No,Definitivamente si,Revisión periódica del ambiente de trabajo
07/04/2015 23:50,De 29 a 39 años,Masculino,De 1-5 años,Unión libre,Administrativo.,Sector industrial,Si,Definitivamente si,Muy de acuerdo,Definitivamente si,Muy alto,Muy bueno,Muy satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Excelente,Definitivamente si,Muy adecuada,Probablemente no,Muy adecuadas,Muy amplio,Definitivamente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En algunas áreas de trabajo,Si,Probablemente si,No,No ha habido cambios,Probablemente si,Probablemente si,Uso de Señalización de áreas de peligro,No,Definitivamente si,Revisión periódica del ambiente de trabajo
07/04/2015 23:51,De 29 a 39 años,Masculino,De 6-12 años,Soltero,Operativo.,Sector industrial,,Probablemente si,De acuerdo,Probablemente si,Alto,Muy bueno,Satisfecho,Probablemente si,Utiles,Definitivamente si,Excelente,Indeciso,Muy adecuada,Probablemente si,Adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Probablemente no,Si,Han disminuido,Probablemente si,Probablemente si,Uso de Señalización de áreas de peligro,Si,Probablemente si,"Diseño de procesos seguros, Revisión periódica del ambiente de trabajo"
